company_key,stability_score,region,rating,still_active,duration_days
haringey education partnership,0.0,london,A,True,1041
abi convenience store,12.9,rest_england,A,True,1041
taxmen,0.0,london,A,True,1041
probitas 1492 services,0.0,london,A,False,832
the global returns project,0.0,london,A,True,1041
z rental,0.0,london,A,True,393
zsu transport,12.9,rest_england,A,False,832
kktk2 ltd taro japanese restaurant,0.0,london,A,True,1041
flick tech,0.0,london,A,True,1041
znor group,12.9,rest_england,A,True,566
mettle bond care,12.9,rest_england,A,True,1041
dean group international,12.9,rest_england,A,True,1
squeaks house residential care home,12.9,rest_england,A,False,726
hench nutrition,12.9,rest_england,A,True,1041
square burgers,12.9,rest_england,A,True,467
q chowdhury,0.0,london,A,True,935
goodrich control systems,12.9,rest_england,A,False,294
clarendon studio,12.9,rest_england,A,True,272
westfield lodge care,12.9,rest_england,A,True,393
dba management services uk,12.9,rest_england,A,True,1041
dr vilathgamuwa and partners,0.0,london,A,True,1041
sunlit montessori,0.0,london,A,True,1041
ali commercials,12.9,rest_england,A,True,566
marlborough school,12.9,rest_england,A,True,1041
sari jehan,12.9,rest_england,A,True,935
dgs tech,12.9,rest_england,A,True,1041
david catt spitalfields,0.0,london,A,True,846
edge esports,12.9,rest_england,A,True,1041
sedbergh school,12.9,rest_england,A,True,1041
pilz automation technology lp,12.9,rest_england,A,True,1041
drucegrove,12.9,rest_england,A,True,566
quickstarcleaning,12.9,rest_england,A,True,846
sword technology solutions,12.9,rest_england,A,True,1041
fireblocks uk int l,0.0,london,A,True,1041
blackthorn,12.9,rest_england,A,True,1041
livestockex,12.9,rest_england,A,True,1
monte hotels,12.9,rest_england,A,True,1041
garnett keeler public relations,12.9,rest_england,A,True,566
sparklean ox,12.9,rest_england,A,True,935
the trisaas group,27.8,scotland,A,False,1
ars jewels,12.9,rest_england,A,True,1041
ormiston park academy,12.9,rest_england,A,True,1041
staffing plus,12.9,rest_england,A,True,566
egg free cake box derby2 limited t a cake box,12.9,rest_england,A,True,1041
oasis professional care services,12.9,rest_england,A,True,846
amf furniture,12.9,rest_england,A,True,566
j wilkes paving construction,12.9,rest_england,A,False,1
image cars,12.9,rest_england,A,True,272
global environmental excellence ltd t a genex,12.9,rest_england,A,True,1041
dp dumfries limited ta domino s pizza,12.9,rest_england,A,True,1041
sim caterers ltd t a rara dining,12.9,rest_england,A,True,935
xyz law,12.9,rest_england,A,False,538
lcn capital partners london,0.0,london,A,True,1041
cosimac drytech,12.9,rest_england,A,True,1041
mezo burton limited t a bluebird care,12.9,rest_england,A,False,294
uk pcr,12.9,rest_england,A,False,637
scag foods limited t a namaste mumbai,12.9,rest_england,A,True,1041
omilan productions,27.8,scotland,A,True,747
woodlands nurseries,0.0,london,A,True,1041
272bio,12.9,rest_england,A,True,1041
uk wainh,12.9,rest_england,A,True,1041
crb cunninghams,12.9,rest_england,A,False,832
chingford specsavers,0.0,london,A,True,1
firefinch software,27.8,scotland,A,True,393
nanrose retail,10.4,wales,A,True,1041
acton lane london,0.0,london,A,True,1041
crown home buying,0.0,london,A,True,1041
marvel construct,0.0,london,A,True,747
gateway it solutions,12.9,rest_england,A,True,1041
ravon group,0.0,london,A,True,1
simon astridge architecture workshop,0.0,london,A,True,1
pencombe hall,12.9,rest_england,A,True,1041
traqs consulting,12.9,rest_england,A,True,1041
the gurkha s dine nepalese indian restaurant,12.9,rest_england,A,True,1041
lnt global,12.9,rest_england,A,True,747
children assisted in a real environment,0.0,london,A,True,1041
adam and eesa,12.9,rest_england,A,True,747
eximius live in care,12.9,rest_england,A,True,1041
thivakar navaratnam t as lawns news agent,12.9,rest_england,A,True,1041
andybusiness limited t a subway,12.9,rest_england,A,True,1041
luxurycare regency manor care,12.9,rest_england,A,True,1041
village indian,12.9,rest_england,A,True,1041
tom walters equine vets,12.9,rest_england,A,True,846
st pancras hotel services,0.0,london,A,True,566
phones planet,12.9,rest_england,A,True,747
hsssg services,12.9,rest_england,A,True,566
andras house,14.0,ni,A,True,1041
mkv omega,12.9,rest_england,A,True,1041
applied business academy,0.0,london,A,False,475
n ali,12.9,rest_england,A,True,1041
incode technology uk,12.9,rest_england,A,True,935
p k supermarket,12.9,rest_england,A,True,846
fiber pearl,0.0,london,A,False,195
r k aggarwal,10.4,wales,A,True,935
careplan first,0.0,london,A,False,726
greg kraw trans,12.9,rest_england,A,True,1041
auto clinic high wycombe,12.9,rest_england,A,True,1041
stoke24 ltd blurton dental centre,12.9,rest_england,A,True,1
gorilla vapes,0.0,london,A,True,935
vigo lane,27.8,scotland,A,True,566
great escape games,12.9,rest_england,A,True,747
masafina,12.9,rest_england,A,True,272
care cover 24 7,12.9,rest_england,A,True,1041
the hamptons care centre,12.9,rest_england,A,True,1041
aerotech,12.9,rest_england,A,True,467
en route it rpm office,0.0,london,A,True,1041
streethub ltd trading as trouva,0.0,london,A,False,648
viasat world,0.0,london,A,True,1041
dilraj limited company ltd t a dilraj indian takeaway,12.9,rest_england,A,True,1041
dorchesteruk,12.9,rest_england,A,True,846
m s ceramics,12.9,rest_england,A,False,726
hyde global,0.0,london,A,True,1041
supremacy care services,12.9,rest_england,A,True,1041
lk food trading,12.9,rest_england,A,False,574
seymul,0.0,london,A,True,1041
mirador worldwide,27.8,scotland,A,False,475
nadsar ltd t a river walk cafe the pipemakers arms,12.9,rest_england,A,False,354
bridge uk,0.0,london,A,True,1041
techflow marine,12.9,rest_england,A,True,272
desserts hub limited t a heavenly desserts,0.0,london,A,True,393
penhill food and wine,12.9,rest_england,A,True,935
john bull convenience store,12.9,rest_england,A,True,393
kent security services,0.0,london,A,True,747
farra marine uk,12.9,rest_england,A,True,1041
haines watts farnborough,12.9,rest_england,A,True,1041
house of cars oldham,12.9,rest_england,A,False,379
security group services,12.9,rest_england,A,True,1041
eva actuarial accounting consultants,12.9,rest_england,A,False,574
ibosa properties uk,0.0,london,A,True,1041
athelstanone pty,12.9,rest_england,A,True,846
basalt infrastructure partners,0.0,london,A,True,1041
noora foods limited t a mango tree indian takeaway,12.9,rest_england,A,True,747
k a logistics,12.9,rest_england,A,True,1
the health lottery,0.0,london,A,True,393
share advertising,0.0,london,A,False,832
approach studio,0.0,london,A,True,566
tech people managed services,12.9,rest_england,A,True,747
vehicle damage assessors,12.9,rest_england,A,True,935
digitease business solutions,12.9,rest_england,A,True,1
cellderma,12.9,rest_england,A,True,393
raja meat store,12.9,rest_england,A,True,935
chicka limited t a chicka,12.9,rest_england,A,True,747
jaleshvar,12.9,rest_england,A,False,354
neurogears,0.0,london,A,True,1041
edinburgh festival ballet school,27.8,scotland,A,True,1041
i grunwerg,12.9,rest_england,A,True,935
mox london,0.0,london,A,True,1041
mouna s kitchen,0.0,london,A,True,393
mirons newsagents,12.9,rest_england,A,True,846
cams trading,12.9,rest_england,A,True,935
afr capital,12.9,rest_england,A,False,648
cardiff cruises,12.9,rest_england,A,True,1041
business insights private,12.9,rest_england,A,True,1041
beach hut cafe,12.9,rest_england,A,True,1041
holmen iggesund paperboard,12.9,rest_england,A,False,574
