source,source_job_id,title,company_raw,company_key,matched_company_key,match_score,correct,note
reed,57041884,Demand Analyst,Nomad Foods,nomad foods,nomad foods europe,100.0,Y,substring containment
adzuna,5786373854,Data Analyst,Finlay Jude Associates Ltd,finlay jude associates,q associates,90.9090909090909,Y,shared distinctive token ['associates']
reed,57117892,MI Analyst,Davies Group,davies group,davies group,100.0,Y,exact company_key
adzuna,5791206375,Data Analyst,ALH Recruitment,alh recruitment,mh recruitment,89.65517241379311,N,weak/ambiguous overlap ratio=89.65517241379311 tokens=['recruitment']
adzuna,5800473760,Data Analyst,Stott & May Professional Search Limited,stott may professional search,stott and may professional search,100.0,Y,"high score with overlap ['may', 'professional', 'search', 'stott']"
reed,57031407,Senior Data Analyst,Harnham - Data & Analytics Recruitment,harnham data analytics recruitment,ad data analytics,90.3225806451613,Y,"shared distinctive token ['analytics', 'data']"
adzuna,5785793147,Data Analyst,Finlay Jude Associates,finlay jude associates,q associates,90.9090909090909,Y,shared distinctive token ['associates']
adzuna,5789989654,"Staff Data Analyst, Operations",Wise,wise,aaron wise,100.0,N,short substring collision
reed,57069979,Data Analyst,Gleeson Recruitment Group,gleeson recruitment group,gi group recruitment,91.89189189189189,Y,shared distinctive token ['recruitment']
reed,55968479,Business Analyst,FDM Group,fdm group,fdm group,100.0,Y,exact company_key
adzuna,5789987969,Lead Data Analyst - Total Service (Operations),Wise,wise,aaron wise,100.0,N,short substring collision
adzuna,5785359517,Data Analyst,The Progeny Group Limited,the progeny group,the penny group,87.5,N,"weak/ambiguous overlap ratio=87.5 tokens=['group', 'the']"
adzuna,5210480225,Data Analyst,virtusa,virtusa,virtusa consulting and services,100.0,Y,substring containment
reed,57169827,Business Analyst,CMC Markets,cmc markets,cmc markets uk,100.0,Y,substring containment
reed,57137821,Resource Planning Analyst,SES Water,ses water,sas water,88.88888888888889,N,weak/ambiguous overlap ratio=88.88888888888889 tokens=['water']
adzuna,5802282434,Data Analyst,Caremark - Franchise Support Centre,caremark franchise support centre,caremark,100.0,Y,substring containment
adzuna,5755551290,Data Analyst,NHS Professionals,nhs professionals,s h professionals,94.11764705882354,Y,shared distinctive token ['professionals']
adzuna,5741144130,Data Analyst,Beyond,beyond,1 step beyond support,100.0,Y,substring containment
adzuna,5789988738,Data Analyst,Opencast Software,opencast software,opencast software europe,100.0,Y,substring containment
reed,57118550,Fraud Data Analyst,ABL Recruitment,abl recruitment,abiel recruitment,93.75,Y,shared distinctive token ['recruitment']
adzuna,5790312005,Data Analyst,Peregrine,peregrine,gc studios limited t a peregrine,100.0,Y,substring containment
adzuna,5679132312,Data Analyst,G-Research,g research,n g business consultancy and market research services,100.0,Y,"high score with overlap ['g', 'research']"
adzuna,5792489057,SC - Data Analyst,Velocity Talent,velocity talent,velocity outlet,86.66666666666667,N,weak/ambiguous overlap ratio=86.66666666666667 tokens=['velocity']
adzuna,5814622035,Data Analyst,Stott & May Professional Search Limited,stott may professional search,stott and may professional search,100.0,Y,"high score with overlap ['may', 'professional', 'search', 'stott']"
reed,56764568,Senior Data Analyst - Ex-Forces Programme,FDM Group,fdm group,fdm group,100.0,Y,exact company_key
adzuna,5786260145,Data Analyst Placement Programme No Experience Needed,IT Online Learning,it online learning,kress cooper online learning school kcolls,90.9090909090909,Y,"shared distinctive token ['learning', 'online']"
reed,57165187,Data Analyst,Harnham - Data & Analytics Recruitment,harnham data analytics recruitment,ad data analytics,90.3225806451613,Y,"shared distinctive token ['analytics', 'data']"
adzuna,5809546087,Data Analyst Placement Programme No Experience Needed,IT Online Learning,it online learning,kress cooper online learning school kcolls,90.9090909090909,Y,"shared distinctive token ['learning', 'online']"
adzuna,5803594977,Data Analyst,Harnham - Data & Analytics Recruitment,harnham data analytics recruitment,ad data analytics,90.3225806451613,Y,"shared distinctive token ['analytics', 'data']"
adzuna,5784172530,Data Analyst,PDSA,pdsa,pdsa,100.0,Y,exact company_key
adzuna,5812198299,Data Analyst,Career Concept,career concept,g g concept,87.5,N,weak/ambiguous overlap ratio=87.5 tokens=['concept']
reed,57053595,Business Analyst - AI Consultant,Sanderson ,sanderson,green sanderson opco,100.0,Y,substring containment
