source,source_job_id,title,desc_len,description_full,check,skill,correct
reed,57124998,Data Analyst Trainee,5929,True,precision,Excel,Y
reed,57124998,Data Analyst Trainee,5929,True,precision,Project Management,Y
reed,57124998,Data Analyst Trainee,5929,True,precision,Python,Y
reed,57124998,Data Analyst Trainee,5929,True,precision,SQL,Y
reed,57124998,Data Analyst Trainee,5929,True,precision,Tableau,Y
reed,57124998,Data Analyst Trainee,5929,True,recall,SQL,Y
reed,57124998,Data Analyst Trainee,5929,True,recall,Python,Y
reed,57124998,Data Analyst Trainee,5929,True,recall,Excel,Y
reed,57124998,Data Analyst Trainee,5929,True,recall,Tableau,Y
reed,57156917,Data Analyst,2864,True,precision,AWS,Y
reed,57156917,Data Analyst,2864,True,precision,Communication,Y
reed,57156917,Data Analyst,2864,True,precision,Data Modelling,Y
reed,57156917,Data Analyst,2864,True,precision,ETL,Y
reed,57156917,Data Analyst,2864,True,precision,Looker,Y
reed,57156917,Data Analyst,2864,True,precision,Python,Y
reed,57156917,Data Analyst,2864,True,precision,Qlik,Y
reed,57156917,Data Analyst,2864,True,precision,SQL,Y
reed,57156917,Data Analyst,2864,True,recall,SQL,Y
reed,57156917,Data Analyst,2864,True,recall,Python,Y
reed,57156917,Data Analyst,2864,True,recall,AWS,Y
reed,57156917,Data Analyst,2864,True,recall,ETL,Y
reed,57156917,Data Analyst,2864,True,recall,Looker,Y
reed,57166202,Data Analyst Trainee,5929,True,precision,Excel,Y
reed,57166202,Data Analyst Trainee,5929,True,precision,Project Management,Y
reed,57166202,Data Analyst Trainee,5929,True,precision,Python,Y
reed,57166202,Data Analyst Trainee,5929,True,precision,SQL,Y
reed,57166202,Data Analyst Trainee,5929,True,precision,Tableau,Y
reed,57166202,Data Analyst Trainee,5929,True,recall,SQL,Y
reed,57166202,Data Analyst Trainee,5929,True,recall,Python,Y
reed,57166202,Data Analyst Trainee,5929,True,recall,Excel,Y
reed,57166202,Data Analyst Trainee,5929,True,recall,Tableau,Y
reed,57062818,Business Partner Analytics - Technical Analyst,5138,True,precision,Communication,Y
reed,57062818,Business Partner Analytics - Technical Analyst,5138,True,precision,Excel,Y
reed,57062818,Business Partner Analytics - Technical Analyst,5138,True,precision,Python,Y
reed,57062818,Business Partner Analytics - Technical Analyst,5138,True,precision,SAP,Y
reed,57062818,Business Partner Analytics - Technical Analyst,5138,True,precision,SQL,Y
reed,57062818,Business Partner Analytics - Technical Analyst,5138,True,precision,Stakeholder Management,Y
reed,57062818,Business Partner Analytics - Technical Analyst,5138,True,precision,Tableau,Y
reed,57062818,Business Partner Analytics - Technical Analyst,5138,True,recall,SQL,Y
reed,57062818,Business Partner Analytics - Technical Analyst,5138,True,recall,Python,Y
reed,57062818,Business Partner Analytics - Technical Analyst,5138,True,recall,Excel,Y
reed,57062818,Business Partner Analytics - Technical Analyst,5138,True,recall,Tableau,Y
adzuna,5808335552,Data Science Analyst - Contract,532,False,precision,Python,Y
adzuna,5808335552,Data Science Analyst - Contract,532,False,precision,SQL,Y
adzuna,5808335552,Data Science Analyst - Contract,532,False,recall,SQL,Y
adzuna,5808335552,Data Science Analyst - Contract,532,False,recall,Python,Y
reed,57115098,Trainee Data Analyst,5929,True,precision,Excel,Y
reed,57115098,Trainee Data Analyst,5929,True,precision,Project Management,Y
reed,57115098,Trainee Data Analyst,5929,True,precision,Python,Y
reed,57115098,Trainee Data Analyst,5929,True,precision,SQL,Y
reed,57115098,Trainee Data Analyst,5929,True,precision,Tableau,Y
reed,57115098,Trainee Data Analyst,5929,True,recall,SQL,Y
reed,57115098,Trainee Data Analyst,5929,True,recall,Python,Y
reed,57115098,Trainee Data Analyst,5929,True,recall,Excel,Y
reed,57115098,Trainee Data Analyst,5929,True,recall,Tableau,Y
adzuna,5785359517,Data Analyst,513,False,precision,Power BI,Y
adzuna,5785359517,Data Analyst,513,False,recall,Power BI,Y
reed,57033571,Data Analyst,2080,True,precision,Communication,Y
reed,57033571,Data Analyst,2080,True,precision,Excel,Y
reed,57033571,Data Analyst,2080,True,precision,Power BI,Y
reed,57033571,Data Analyst,2080,True,precision,SQL,Y
reed,57033571,Data Analyst,2080,True,recall,Power BI,Y
reed,57033571,Data Analyst,2080,True,recall,SQL,Y
reed,57033571,Data Analyst,2080,True,recall,Excel,Y
reed,57140218,Data Analyst,3904,True,precision,Power BI,Y
reed,57140218,Data Analyst,3904,True,precision,Python,Y
reed,57140218,Data Analyst,3904,True,precision,SQL,Y
reed,57140218,Data Analyst,3904,True,recall,Power BI,Y
reed,57140218,Data Analyst,3904,True,recall,SQL,Y
reed,57140218,Data Analyst,3904,True,recall,Python,Y
reed,57031375,Lead Data Analyst,3164,True,precision,Communication,Y
reed,57031375,Lead Data Analyst,3164,True,precision,Python,Y
reed,57031375,Lead Data Analyst,3164,True,precision,Stakeholder Management,Y
reed,57031375,Lead Data Analyst,3164,True,precision,Statistics,Y
reed,57031375,Lead Data Analyst,3164,True,recall,Python,Y
reed,57069135,Data Scientist,4637,True,precision,Git,Y
reed,57069135,Data Scientist,4637,True,precision,Machine Learning,Y
reed,57069135,Data Scientist,4637,True,precision,Python,Y
reed,57069135,Data Scientist,4637,True,precision,Statistics,Y
reed,57069135,Data Scientist,4637,True,recall,Python,Y
reed,57108227,Data Analyst,2506,True,precision,Excel,Y
reed,57108227,Data Analyst,2506,True,precision,SQL,Y
reed,57108227,Data Analyst,2506,True,recall,SQL,Y
reed,57108227,Data Analyst,2506,True,recall,Excel,Y
reed,57148927,AI Business Analyst,1928,True,precision,Communication,Y
reed,57148927,AI Business Analyst,1928,True,precision,Stakeholder Management,Y
reed,57161305,Data Analyst Trainee,5929,True,precision,Excel,Y
reed,57161305,Data Analyst Trainee,5929,True,precision,Project Management,Y
reed,57161305,Data Analyst Trainee,5929,True,precision,Python,Y
reed,57161305,Data Analyst Trainee,5929,True,precision,SQL,Y
reed,57161305,Data Analyst Trainee,5929,True,precision,Tableau,Y
reed,57161305,Data Analyst Trainee,5929,True,recall,SQL,Y
reed,57161305,Data Analyst Trainee,5929,True,recall,Python,Y
reed,57161305,Data Analyst Trainee,5929,True,recall,Excel,Y
reed,57161305,Data Analyst Trainee,5929,True,recall,Tableau,Y
adzuna,5794322601,Data analyst,513,False,precision,AWS,Y
adzuna,5794322601,Data analyst,513,False,precision,Data Modelling,Y
adzuna,5794322601,Data analyst,513,False,recall,AWS,Y
reed,57130483,Data Analyst,3175,True,precision,Power BI,Y
reed,57130483,Data Analyst,3175,True,precision,Python,Y
reed,57130483,Data Analyst,3175,True,precision,SQL,Y
reed,57130483,Data Analyst,3175,True,precision,Snowflake,Y
reed,57130483,Data Analyst,3175,True,precision,Tableau,Y
reed,57130483,Data Analyst,3175,True,precision,dbt,Y
reed,57130483,Data Analyst,3175,True,recall,Power BI,Y
